iter	Passed	Remaining
410	4270	6119
411	4279	6107
412	4290	6097
413	4300	6087
414	4310	6076
415	4321	6066
416	4329	6053
417	4340	6042
418	4351	6033
419	4359	6020
420	4368	6007
421	4377	5995
422	4386	5983
423	4394	5970
424	4403	5957
425	4412	5945
426	4421	5933
427	4429	5920
428	4438	5907
429	4446	5894
430	4455	5882
431	4464	5869
432	4473	5857
433	4482	5845
434	4490	5833
435	4501	5822
436	4511	5812
437	4522	5802
438	4532	5792
439	4543	5782
440	4551	5769
441	4559	5755
442	4568	5743
443	4576	5730
444	4586	5719
445	4596	5709
446	4606	5699
447	4615	5686
448	4625	5676
449	4636	5666
450	4647	5656
451	4655	5644
452	4665	5633
453	4674	5621
454	4682	5609
455	4691	5596
456	4699	5584
457	4709	5572
458	4717	5560
459	4728	5550
460	4738	5539
461	4748	5529
462	4759	5519
463	4769	5509
464	4780	5499
465	4790	5489
466	4799	5477
467	4807	5465
468	4818	5455
469	4826	5442
470	4834	5429
471	4843	5417
472	4853	5407
473	4861	5395
474	4870	5382
475	4878	5370
476	4887	5359
477	4898	5349
478	4906	5337
479	4916	5326
480	4928	5317
481	4936	5304
482	4944	5292
483	4953	5280
484	4961	5268
485	4971	5258
486	4981	5247
487	4990	5236
488	5001	5226
489	5012	5217
490	5022	5207
491	5034	5197
492	5044	5188
493	5053	5176
494	5062	5164
495	5072	5154
496	5083	5144
497	5091	5132
498	5099	5120
499	5107	5107
500	5116	5095
501	5124	5083
502	5132	5071
503	5140	5059
504	5148	5046
505	5157	5034
506	5167	5024
507	5178	5014
508	5188	5005
509	5198	4995
510	5209	4985
511	5218	4973
512	5227	4962
513	5236	4950
514	5243	4938
515	5254	4928
516	5262	4916
517	5270	4904
518	5278	4891
519	5286	4879
520	5297	4870
521	5305	4858
522	5313	4846
523	5322	4834
524	5329	4822
525	5338	4810
526	5346	4798
527	5354	4786
528	5364	4776
529	5373	4764
530	5380	4752
531	5389	4740
532	5397	4728
533	5405	4716
534	5414	4705
535	5422	4693
536	5429	4681
537	5437	4669
538	5445	4657
539	5453	4645
540	5461	4633
541	5470	4622
542	5478	4611
543	5486	4599
544	5494	4587
545	5502	4575
546	5510	4563
547	5518	4551
548	5526	4540
549	5534	4528
550	5543	4517
551	5550	4505
552	5559	4493
553	5567	4482
554	5575	4470
555	5583	4458
556	5591	4446
557	5599	4435
558	5607	4423
559	5616	4412
560	5624	4401
561	5634	4391
562	5645	4382
563	5656	4372
564	5666	4362
565	5675	4351
566	5683	4340
567	5691	4328
568	5699	4317
569	5707	4305
570	5717	4295
571	5725	4284
572	5734	4273
573	5742	4261
574	5750	4250
575	5758	4238
576	5768	4228
577	5779	4219
578	5787	4208
579	5795	4196
580	5803	4185
581	5811	4173
582	5819	4162
583	5827	4151
584	5835	4139
585	5843	4128
586	5852	4117
587	5860	4106
588	5869	4095
589	5879	4085
590	5889	4075
591	5897	4064
592	5908	4055
593	5918	4045
594	5926	4034
595	5935	4023
596	5944	4012
597	5952	4001
598	5960	3990
599	5969	3979
600	5977	3968
601	5985	3957
602	5994	3946
603	6002	3935
604	6010	3924
605	6018	3913
606	6026	3901
607	6034	3890
608	6043	3880
609	6052	3869
610	6061	3858
611	6069	3847
612	6077	3836
613	6088	3827
614	6096	3816
615	6104	3805
616	6112	3794
617	6120	3783
618	6128	3772
619	6136	3761
620	6145	3750
621	6153	3739
622	6162	3729
623	6170	3718
624	6178	3707
625	6186	3695
626	6194	3684
627	6202	3674
628	6210	3663
629	6218	3652
630	6227	3641
631	6235	3630
632	6243	3619
633	6253	3610
634	6262	3599
635	6270	3588
636	6278	3577
637	6287	3567
638	6295	3556
639	6304	3546
640	6314	3536
641	6322	3525
642	6330	3514
643	6337	3503
644	6345	3492
645	6354	3482
646	6363	3471
647	6370	3460
648	6379	3449
649	6387	3439
650	6395	3428
651	6403	3417
652	6411	3406
653	6418	3395
654	6426	3385
655	6435	3374
656	6443	3363
657	6451	3353
658	6458	3342
659	6466	3331
660	6475	3320
661	6483	3310
662	6491	3299
663	6499	3289
664	6507	3278
665	6515	3267
666	6523	3257
667	6532	3246
668	6539	3235
669	6547	3224
670	6555	3214
671	6563	3203
672	6571	3192
673	6579	3182
674	6587	3171
675	6595	3161
676	6603	3150
677	6611	3140
678	6620	3130
679	6629	3119
680	6637	3109
681	6645	3098
682	6654	3088
683	6661	3077
684	6669	3067
685	6677	3056
686	6686	3046
687	6694	3035
688	6703	3025
689	6711	3015
690	6719	3004
691	6727	2994
692	6735	2983
693	6743	2973
694	6753	2963
695	6760	2953
696	6769	2942
697	6777	2932
698	6785	2921
699	6793	2911
700	6801	2901
701	6809	2890
702	6818	2880
703	6826	2870
704	6834	2860
705	6842	2849
706	6851	2839
707	6859	2829
708	6867	2818
709	6876	2808
710	6884	2798
711	6892	2788
712	6901	2777
713	6909	2767
714	6918	2757
715	6927	2747
716	6935	2737
717	6942	2726
718	6950	2716
719	6959	2706
720	6967	2696
721	6975	2686
722	6984	2675
723	6992	2665
724	7000	2655
725	7008	2645
726	7016	2634
727	7024	2624
728	7033	2614
729	7042	2604
730	7050	2594
731	7059	2584
732	7066	2574
733	7074	2563
734	7082	2553
735	7091	2543
736	7099	2533
737	7107	2523
738	7116	2513
739	7124	2503
740	7132	2492
741	7140	2482
742	7148	2472
743	7156	2462
744	7164	2452
745	7172	2442
746	7180	2432
747	7189	2422
748	7198	2412
749	7205	2401
750	7214	2392
751	7223	2382
752	7231	2372
753	7240	2362
754	7247	2351
755	7256	2341
756	7264	2332
757	7272	2321
758	7280	2311
759	7289	2301
760	7297	2291
761	7306	2281
762	7314	2272
763	7322	2262
764	7331	2252
765	7339	2241
766	7347	2232
767	7355	2221
768	7363	2211
769	7371	2201
770	7380	2192
771	7388	2182
772	7397	2172
773	7405	2162
774	7413	2152
775	7421	2142
776	7430	2132
777	7438	2122
778	7446	2112
779	7454	2102
780	7463	2092
781	7471	2082
782	7479	2072
783	7487	2062
784	7495	2052
785	7504	2043
786	7514	2033
787	7522	2023
788	7530	2013
789	7540	2004
790	7548	1994
791	7556	1984
792	7566	1975
793	7574	1965
794	7582	1955
795	7591	1945
796	7599	1935
797	7607	1925
798	7615	1915
799	7623	1905
800	7631	1896
801	7639	1886
802	7647	1876
803	7655	1866
804	7663	1856
805	7671	1846
806	7679	1836
807	7687	1826
808	7694	1816
809	7702	1806
810	7710	1796
811	7718	1787
812	7726	1777
813	7734	1767
814	7742	1757
815	7750	1747
816	7758	1737
817	7766	1727
818	7774	1718
819	7783	1708
820	7791	1698
821	7799	1688
822	7807	1679
823	7815	1669
824	7823	1659
825	7832	1649
826	7839	1640
827	7848	1630
828	7856	1620
829	7864	1610
830	7872	1601
831	7880	1591
832	7888	1581
833	7896	1571
834	7905	1562
835	7912	1552
836	7921	1542
837	7929	1532
838	7938	1523
839	7945	1513
840	7954	1503
841	7962	1494
842	7970	1484
843	7978	1474
844	7986	1464
845	7996	1455
846	8007	1446
847	8017	1437
848	8028	1427
849	8038	1418
850	8048	1409
851	8057	1399
852	8068	1390
853	8079	1381
854	8089	1371
855	8100	1362
856	8108	1353
857	8116	1343
858	8124	1333
859	8133	1323
860	8141	1314
861	8149	1304
862	8157	1295
863	8165	1285
864	8173	1275
865	8181	1266
866	8189	1256
867	8197	1246
868	8205	1237
869	8214	1227
870	8222	1217
871	8230	1208
872	8238	1198
873	8247	1188
874	8254	1179
875	8263	1169
876	8273	1160
877	8282	1150
878	8293	1141
879	8304	1132
880	8312	1122
881	8320	1113
882	8328	1103
883	8337	1094
884	8345	1084
885	8355	1075
886	8366	1065
887	8374	1056
888	8385	1046
889	8395	1037
890	8407	1028
891	8415	1018
892	8424	1009
893	8432	999
894	8440	990
895	8448	980
896	8456	971
897	8465	961
898	8473	951
899	8482	942
900	8490	932
901	8498	923
902	8506	913
903	8514	904
904	8523	894
905	8531	885
906	8539	875
907	8547	866
908	8556	856
909	8565	847
910	8572	837
911	8581	828
912	8589	818
913	8598	809
914	8607	799
915	8619	790
916	8627	780
917	8635	771
918	8643	761
919	8654	752
920	8664	743
921	8674	733
922	8683	724
923	8691	714
924	8699	705
925	8707	695
926	8716	686
927	8724	676
928	8733	667
929	8741	657
930	8749	648
931	8757	638
932	8765	629
933	8773	619
934	8781	610
935	8790	601
936	8798	591
937	8806	582
938	8814	572
939	8823	563
940	8832	553
941	8840	544
942	8848	534
943	8857	525
944	8866	516
945	8874	506
946	8883	497
947	8892	487
948	8900	478
949	8909	468
950	8918	459
951	8926	450
952	8935	440
953	8943	431
954	8951	421
955	8959	412
956	8968	402
957	8976	393
958	8985	384
959	8993	374
960	9001	365
961	9010	355
962	9019	346
963	9027	337
964	9035	327
965	9044	318
966	9052	308
967	9060	299
968	9068	290
969	9075	280
970	9084	271
971	9092	261
972	9100	252
973	9108	243
974	9116	233
975	9125	224
976	9136	215
977	9147	205
978	9155	196
979	9163	187
980	9172	177
981	9180	168
982	9188	158
983	9196	149
984	9205	140
985	9213	130
986	9221	121
987	9229	112
988	9237	102
989	9245	93
990	9253	84
991	9262	74
992	9270	65
993	9278	56
994	9287	46
995	9295	37
996	9303	27
997	9311	18
998	9320	9
999	9328	0
